"id","dept_code","name_en","name_fr","desc_en","desc_fr","is_active","is_drf","is_internal_service"
"ACOA-BED00","ACOA","Economic Development in Atlantic Canada","Développement économique au Canada atlantique","Support Atlantic Canada’s economic growth, wealth creation and economic prosperity through inclusive clean growth and building on competitive regional strengths. Help small and medium-sized enterprise (SME) growth through direct financial assistance and indirectly to business support organizations. SMEs become more innovative by adopting new technologies and processes and pursuing new avenues for expansion and market diversification in order to compete and succeed in a global market.","Soutenir la croissance économique, la création de richesse et la prospérité économique au Canada atlantique en misant sur la croissance propre et inclusive et sur les avantages concurrentiels régionaux. Favoriser la croissance des petites et moyennes entreprises (PME) en leur offrant une aide financière directe ou indirecte par l’intermédiaire d’organismes de soutien aux entreprises. Les PME deviennent plus novatrices lorsqu’elles adoptent de nouvelles technologies et de nouveaux procédés et lorsqu’elles explorent de nouvelles possibilités d’expansion et de diversification des marchés afin de faire concurrence et de réussir sur un marché mondial.",1,1,0
"ACOA-ISS00","ACOA","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"ACOA-SO001","ACOA","A competitive Atlantic Canadian economy.","Une économie concurrentielle au Canada atlantique.",,,0,0,0
"ACOA-SO002","ACOA","Internal Services","Services internes",,,0,0,1
"AECB-BTJ00","AECB","Nuclear Regulation","Réglementation nucléaire","The Commission regulates the use of nuclear energy and materials to protect health, safety, security and the environment; implements Canada’s international commitments on the peaceful use of nuclear energy; and disseminates objective scientific and regulatory information to members of the public. The Commission maintains a regulatory framework, conducts licensing (including environmental assessments), compliance verification, and enforcement. The Commission is committed to building and maintaining the confidence of the public and Indigenous peoples through transparent, open and inclusive regulatory processes.","La Commission réglemente l’utilisation de l’énergie et des matières nucléaires afin de préserver la sûreté, la santé et la sécurité, de protéger l’environnement, de respecter les engagements internationaux du Canada à l’égard de l’utilisation pacifique de l’énergie nucléaire, et d’informer objectivement le public sur les plans scientifique ou technique ou en ce qui concerne la réglementation du domaine de l’énergie nucléaire. La Commission tient à jour un cadre de réglementation, réalise des activités de délivrance de permis (y compris des évaluations environnementales), vérifie la conformité et fait appliquer la loi. La Commision s’est engagée à établir et à préserver la confiance du public et des Autochtones au moyen de processus de réglementation transparents, ouverts et inclusifs.",1,1,0
"AECB-ISS00","AECB","Internal Services","Services internes","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department. These services are: Acquisition Management Services, Communications Services, Financial Management Services, Human Resources Management Services, Information Management Services, Information Technology Services, Legal Services, Materiel Management Services, Management and Oversight Services, Real Property Management Services.","Les Services internes comprennent les groupes d'activités et de ressources connexes que le gouvernement fédéral considère comme étant des services à l'appui de programmes ou nécessaires pour permettre à une organisation de s'acquitter de ses obligations générales. Les Services internes désignent les activités et ressources des dix services distincts qui soutiennent l'exécution des programmes au sein de l'organisation, peu importe le modèle de prestation des Services internes utilisé. Ces services sont:  Services de gestion des acquisitions, Services de communication, Services de gestion financière, Services de gestion des ressources humaines, Services de gestion de l'information, Services de technologie de l'information, Services juridiques, Services de gestion du matériel, Services de gestion et de surveillance, Services de gestion des biens immobiliers.",1,1,1
"AECB-SO003","AECB","Internal Services","Services internes",,,0,0,1
"AECB-SO004","AECB","Safe and secure nuclear installations and processes used solely for peaceful purposes and an informed public on the effectiveness of Canada's nuclear regulatory regime.","Des installations et des processus nucléaires sûrs et sécuritaires qui ne sont utilisés qu'à des fins pacifiques et un public informé sur l'efficacité du régime de réglementation nucléaire du Canada.",,,0,0,0
"AECL-BAA00","AECL","Nuclear laboratories","Laboratoires nucléaires","Atomic Energy of Canada Limited enables nuclear science and technology in the area of nuclear energy, material science, health, emergency preparedness, safety, and the environment. The objective is to leverage the Chalk River Laboratories, Canada’s largest science and technology complex, in order to provide nuclear science and technology products and services to the Government of Canada and third parties.","Énergie atomique du Canada, Limitée facilite les travaux en science et technologie nucléaires dans les domaines de l’énergie nucléaire, de la science des matériaux, de la santé, de la préparation aux situations d’urgence, de la sûreté et de l’environnement. L’objectif est de tirer profit des Laboratoires de Chalk River, le plus grand complexe scientifique et technologique du Canada, afin de fournir des produits et services en science et technologie nucléaires au gouvernement du Canada et à des tiers.",1,1,0
"AECL-BAB00","AECL","Nuclear decommissioning and radioactive waste management","Déclassement nucléaire et gestion des déchets radioactifs","Atomic Energy of Canada Limited manages nuclear decommissioning and radioactive waste responsibilities at its sites and at sites for which the Government of Canada has accepted responsibility. The objective is to safely and efficiently reduce radioactive waste liabilities by decontaminating and decommissioning infrastructure which is no longer necessary, remediating sites and safely storing and disposing of radioactive waste in a manner that protects the public, workers and the environment.","Énergie atomique du Canada, Limitée gère les responsabilités en matière de déclassement des installations nucléaires et de gestion des déchets radioactifs à ses sites et à d’autres sites pour lesquels le gouvernement du Canada a accepté la responsabilité. L’objectif est de réduire de façon sûre et efficace les responsabilités en matière de gestion des déchets radioactifs, en décontaminant et en déclassant les infrastructures qui ne sont plus nécessaires, en assainissant les sites et en entreposant et éliminant les déchets radioactifs de manière à protéger le public, les travailleurs et l’environnement.",1,1,0
