"dept_code","crso_id","activity_code","name_en","old_name_en","desc_en","is_crown","is_active","is_internal_service","is_fake_program"
"ACOA","ACOA-BED00","BED01","Inclusive Communities",,"For an economically diversified Atlantic Canada, communities must have the capacity and resources to be more inclusive; and for sustainable growth, entrepreneurs must be equipped to be competitive on the global market. Geographic communities and communities of interest, such as industry associations and non-profit organizations, need to invest in initiatives that stimulate economic growth. The Agency works with these communities through strategic investments to increase human capacity of people and organizations to increase and sustain growth and well-being. The lack of business capital available in rural regions impedes the establishment and expansion of small and medium-sized enterprises essential to the vitality and sustainability of communities. The Agency provides targeted support to Community Business Development Corporations (CBDCs) in Atlantic Canada, which provide essential investment capital focused on small rural businesses, and other services including business counselling and skills development. This program targets groups such as youth, women, Indigenous people, immigrants, including international students. It is well aligned with the Atlantic Canada Opportunities Act and its activities, which include support for enterprises, business associations and community organizations, as well as other activities aimed at improving the business environment.",0,1,0,0
"ACOA","ACOA-BED00","BED02","Diversified Communities",,"Economic development in rural areas continues to be a challenge in light of the declining traditional industries, population shifts and infrastructure issues. These issues emphasize the need to support initiatives that increase competitiveness of Atlantic Canada's rural communities and businesses. Such initiatives include: strategic planning activities related to economic development of geographic regions and sectors of interest, and infrastructure required to attract and retain labour; transportation and other types of infrastructure that supports economic activity and specific sectors; and marketing and skills development. Basic infrastructure such as transportation access, water/sewage, broadband and telecommunication and community/recreational facilities are considered essential to the development of local and regional economies. The key purpose of these types of projects is to revitalize and strengthen rural community infrastructure by improving community facilities, including new construction that are or will be used, in whole or in part, for activities such as tourism-related events, trade shows, business meetings, training sessions, symposiums and conferences that will lead to diversified communities. This program is well aligned with the ACOA Act and the types of activities mandated under the Act, which include support for enterprises, and support for business associations and other activities related to improving the business environment.",0,1,0,0
"ACOA","ACOA-BED00","BED03","Research and Development and Commercialization",,"The Atlantic Canada Opportunities Agency (ACOA) plays an important role in ensuring that Atlantic Canada continues to maximize benefits from national research and development (R&D) programs and builds on the momentum of rising business expenditures in R&D in the region. R&D and commercialization is fundamental to increasing the region’s competitiveness and to closing the productivity gap with the rest of the country. The Agency invests in innovation by supporting the development and commercialization of new products, services and processes. ACOA also provides support for the adoption and adaptation of leading-edge technologies. Clients include businesses, universities and research institutes. With ACOA’s financial assistance, small and medium-sized enterprises (SMEs) and institutions can acquire the resources (equipment, etc.) and expertise needed to develop new or enhanced technologies, products, processes and services for commercial use. SMEs and institutions create R&D partnerships to pursue institution or industry-initiated product/process/service concepts that lead to intellectual property development and advances innovation in the region. This is well aligned with the ACOA Act and its activities, including support for enterprises and other activities aimed at improving the business environment.",0,1,0,0
"ACOA","ACOA-BED00","BED04","Innovation Ecosystem",,"The Atlantic Canada Opportunities Agency (ACOA) develops and facilitates strategic networks, partnerships and initiatives to develop an innovation ecosystem. Activities that are key to this ecosystem include networking, engagement and coordination activities to foster collaboration with various stakeholders, such as other federal departments, provinces, industry associations and educational institutions. ACOA aims to increase awareness, knowledge, influence and capacity to innovate in new and traditional sectors, pursue new opportunities, and solve challenges. This program helps build the ecosystem by supporting competitive clusters and business incubators and accelerators, and by funding innovation infrastructure. It helps communities of interest, such as business associations and development organizations, to promote innovation and mitigate risks, including in rural areas. ACOA engages with key stakeholders, networks and partnerships to ensure that innovation challenges and opportunities identified by small and medium-sized enterprises (SMEs) are addressed in a coordinated manner. It lays the foundation for SMEs to successfully innovate and commercialize technologies. This program is well aligned with the ACOA Act and its activities, including support for enterprises and business associations, and other activities aimed at improving the business environment.",0,1,0,0
"ACOA","ACOA-BED00","BED05","Business Growth",,"The Atlantic Canada Opportunities Agency (ACOA) invests in business growth to enhance Atlantic Canadians’ access to the information and financing they need to grow a business. This enables businesses to become more innovative, productive and grow, which generates wealth and jobs. Investments are made through direct repayable and non-repayable contributions to businesses that increase their competitiveness with activities aimed at productivity improvements (new technology/equipment purchase), cleantech adoption/adaptation, start-ups, expansions, modernizations, and domestic marketing. Non-repayable contributions are made to non-profit organizations such as business and economic development associations supporting business start-up and clean growth. ACOA also administers Canada Business, a comprehensive source of information on government services, programs, regulations and resources for businesses. By reducing the complexity of dealing with governments, Canada Business helps the business development process. This program is well aligned with the ACOA Act and its activities, including support for enterprises and business associations, and other activities aimed at improving the business environment.",0,1,0,0
"ACOA","ACOA-BED00","BED06","Trade and Investment",,"The Atlantic Canada Opportunities Agency (ACOA) pursues trade and investment opportunities with a view to increase the number of exporters and the volume of export sales, attract foreign direct investment and support the commercialization of technology. The Agency promotes Atlantic Canada abroad as a world leader in various fields and ways such as: energy production; export and research; a centre of innovation; a skilled labour pool; a reliable supplier of quality products at competitive prices; and the gateway to the North American market. The Agency plays a role in coordinating the efforts of federal, provincial and private-sector organizations in Atlantic Canada in pursuing trade and investment opportunities. Clients include businesses, non-profit organizations, learning and research institutions, and provincial governments. ACOA also strives to build a foundation for long-term growth through global competitiveness thanks to its tourism work, primarily through the commercial and non-commercial elements of the Business Development Program. As an economic sector, tourism offers significant wealth and job creation opportunities for small and medium-sized enterprises (SMEs). This program is well aligned with the ACOA Act and the types of activities mandated under the Act, which includes support for enterprises, and support for business associations and other activities related to improving the business environment.",0,1,0,0
"ACOA","ACOA-BED00","BED07","Policy Research and Engagement",,"The Policy, Research and Engagement (PRE) program is central to identifying and effectively responding to opportunities and challenges facing the regional economy. PRE provides intelligence, analysis and well-grounded advice on a broad range of issues and topics, and it informs and supports the Atlantic Canada Opportunities Agency (ACOA) and ministerial decision making. PRE helps carry the Agency’s agenda forward and ensures that ACOA remains relevant and responsive to opportunities and challenges by offering strategic, researched policy positions that reflect the region’s potential, by influencing national policies, and by coordinating other policies and programs within the region to form integrated approaches to economic development. Clients include economic, business and industry associations, post-secondary educational institutions, research institutions and organizations, independent researchers, and other federal government ministers. PRE programming is well aligned with the ACOA Act and the types of activities mandated under the Act, which includes support for enterprises through policy and program, and through advocacy of the interests of Atlantic Canada in national policies and programs.",0,1,0,0
"ACOA","ACOA-ISS00","ISS00","Internal Services",,"Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",0,1,1,1
"AECB","AECB-BTJ00","BTJ01","Nuclear Fuel Cycle Program",,"This program regulates facilities associated with the nuclear fuel cycle, specifically nuclear processing facilities, nuclear waste management facilities, and uranium mines and mills. The program regulates all the lifecycle stages for these facilities – from site preparation, construction and operation, to decommissioning (or long-term management, in the case of some nuclear waste facilities).",0,1,0,0
"AECB","AECB-BTJ00","BTJ02","Nuclear Reactors Program",,"This program regulates nuclear power plants and research reactors over all lifecycle stages – from site preparation, construction and operation, to decommissioning and abandonment (once operations are ended).",0,1,0,0
"AECB","AECB-BTJ00","BTJ03","Nuclear Substances and Prescribed Equipment Program",,"This program ensures the safe and secure use of nuclear substances and prescribed equipment in Canada to protect the health, safety and security of Canadians and the environment. The nuclear substances and prescribed equipment program includes oversight of nuclear substances and prescribed equipment in medical, industrial, academic/research and commercial sectors, and of dosimetry service providers, as well as the safe transport of nuclear substances. While the onus of safety is on the licensee, staff evaluate safety and security performance through inspections, event reviews, assessments, and reviews of licensee programs and processes. Licensing, compliance and certification activities are managed through a risk-informed approach. These activities include licensing the possession and use of nuclear substances and the delivery of dosimetry services; making recommendations to the Commission for licensing decisions on Class IB facilities; certifying transport packages, radiation devices, Class II prescribed equipment and radiation safety officers for Class II nuclear facilities; establishing compliance verification plans based on a risk-informed regulatory oversight model, taking into account licensee performance; and acting as technical specialists to other programs. The results of regulatory activities associated with this program are communicated annually to the public and other stakeholders. Outreach and communication with licensees is an ongoing process.",0,1,0,0
