dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,Female,385,384,388,398,382,0.64718
ACOA,Male,205,207,216,217,211,0.35282
AECB,Female,391,373,378,387,405,0.45949
AECB,Male,465,448,444,464,454,0.54051
AGR,Female,2977,2622,2605,2620,2662,0.50177
AGR,Male,3014,2669,2589,2547,2572,0.49823
APPRT,Female,2,.,.,.,.,0.66667
APPRT,Male,1,.,.,.,.,0.33333
ATSSC,Female,.,.,226,237,353,0.63109
ATSSC,Male,.,.,123,137,207,0.36118
ATSSC,na,.,.,.,.,10,0.00773
CAS,Female,417,401,400,430,424,0.6559
CAS,Male,206,213,218,238,212,0.3441
CAT,Female,7,6,.,.,.,0.72222
CAT,Male,2,3,.,.,.,0.27778
CB,Female,7,5,9,6,4,0.42466
CB,Male,8,8,8,8,10,0.57534
CBSA,Female,7143,7019,6918,6924,6570,0.49177
CBSA,Male,7075,7077,7195,7247,7135,0.5082
CBSA,na,.,.,.,.,2,0.00003
CCMD,Female,429,418,428,437,400,0.6629
CCMD,Male,228,207,218,211,210,0.3371
CCRA,Female,24849,24115,23878,23473,23770,0.59654
CCRA,Male,16407,16164,16181,16011,16453,0.40346
CDC,Female,34,34,34,36,35,0.60279
CDC,Male,25,17,22,24,26,0.39721
CEAA,Female,145,158,160,177,186,0.67429
CEAA,Male,74,72,69,81,103,0.32571
CEO,Female,250,259,325,322,314,0.51345
CEO,Male,245,261,305,312,270,0.48655
CFGB,Female,26,27,26,21,26,0.65969
CFGB,Male,12,10,16,14,13,0.34031
CFIA,Female,3528,3584,3420,3423,3631,0.57276
CFIA,Male,2726,2731,2589,2523,2549,0.42724
CGC,Female,242,171,177,178,196,0.42207
CGC,Male,383,242,231,225,239,0.57793
CH,Female,1181,1205,1173,1166,1162,0.66385
CH,Male,572,616,600,596,596,0.33604
CH,na,.,.,.,.,1,0.00011
CHRC,Female,141,131,135,141,137,0.67554
CHRC,Male,74,68,69,64,54,0.32446
CHRT,Female,15,12,.,.,.,0.65854
CHRT,Male,6,8,.,.,.,0.34146
CI,Female,3258,3896,4214,4340,4259,0.66085
CI,Male,1592,2031,2171,2246,2205,0.33908
CI,na,.,.,.,1,1,0.00007
CICS,Female,10,11,10,10,9,0.4386
CICS,Male,13,13,13,12,13,0.5614
CIHR,Female,275,294,305,283,316,0.69844
CIHR,Male,119,118,127,126,146,0.30156
CIRB,Female,58,63,.,.,.,0.67598
CIRB,Male,33,25,.,.,.,0.32402
CITT,Female,46,47,.,.,.,0.62
CITT,Male,27,30,.,.,.,0.38
CNEDA,Female,.,.,46,46,46,0.6
CNEDA,Male,.,.,29,31,32,0.4
CPAC,Female,9,9,11,10,.,0.5493
CPAC,Male,7,8,8,9,.,0.4507
CPCC,Female,4,7,7,19,16,0.58889
CPCC,Male,5,4,7,10,11,0.41111
CRTC,Female,260,249,245,240,250,0.55215
CRTC,Male,184,186,217,210,212,0.44785
CSA,Female,264,258,245,258,264,0.40856
CSA,Male,399,363,355,358,391,0.59144
CSC,Female,8944,8805,8402,8196,8238,0.48021
CSC,Male,9557,9454,9237,8976,8871,0.51979
CSEC,Female,747,784,794,781,798,0.36198
CSEC,Male,1328,1387,1374,1381,1410,0.63792
CSEC,na,.,.,.,.,1,0.00009
CTA,Female,138,124,146,142,135,0.58798
CTA,Male,106,94,95,97,88,0.41202
CTAIB,Female,68,68,67,67,68,0.32438
CTAIB,Male,134,135,146,148,141,0.67562
EA,Female,5209,3323,3278,3268,3391,0.56282
EA,Male,3655,2704,2695,2622,2668,0.43712
EA,na,.,.,.,.,2,0.00006
EC,Female,3055,3126,3220,3135,3227,0.4831
EC,Male,3353,3424,3375,3338,3369,0.51669
EC,na,.,.,.,2,5,0.00021
ERC,Female,2,1,3,3,.,0.3
ERC,Male,4,4,3,4,.,0.5
ERC,sup,.,.,.,.,6,0.2
FCAC,Female,39,44,43,50,53,0.53505
FCAC,Male,34,34,41,44,46,0.46495
FEDSO,Female,134,139,141,140,131,0.62329
FEDSO,Male,84,85,77,82,86,0.37671
FIN,Female,359,362,352,347,351,0.47454
FIN,Male,397,389,391,388,396,0.52546
FJA,Female,44,37,35,38,41,0.65657
FJA,Male,23,21,19,21,18,0.34343
FO,Female,3818,3684,3694,3797,3987,0.37778
FO,Male,6476,6274,6164,6104,6243,0.62222
FORDQ,Female,198,200,190,191,199,0.57973
FORDQ,Male,141,148,141,142,136,0.41968
FORDQ,na,.,.,.,.,1,0.00059
FTRAC,Female,203,189,196,198,196,0.5372
FTRAC,Male,171,158,159,176,182,0.4628
GG,Female,96,91,92,101,94,0.60459
GG,Male,62,64,64,65,55,0.39541
GSC,Female,7057,6994,7098,7102,7624,0.5866
GSC,Male,5087,4973,4994,4959,5246,0.41301
GSC,na,.,.,.,.,24,0.00039
H,Female,6363,6153,6034,6121,6207,0.66209
H,Male,3338,3188,3045,3068,3120,0.33791
HMIRC,Female,20,.,.,.,.,0.64516
HMIRC,Male,11,.,.,.,.,0.35484
HRSD,Female,14024,14695,15020,15326,16252,0.69167
HRSD,Male,6022,6402,6687,6986,7477,0.30833
IJC,Female,12,13,14,13,16,0.42767
IJC,Male,20,18,18,19,16,0.57233
INAC,Female,3211,3139,3061,2981,3061,0.64912
INAC,Male,1764,1718,1623,1601,1647,0.35088
IOG,Female,59,58,54,58,56,0.67536
IOG,Male,25,27,26,27,32,0.32464
IPC,Female,162,161,171,160,154,0.61166
IPC,Male,96,100,111,99,107,0.38834
IRB,Female,657,617,587,597,624,0.6195
IRB,Male,377,366,367,376,388,0.37668
IRB,na,.,.,.,.,19,0.00382
ISC,Female,2396,2370,2421,2426,2558,0.50787
ISC,Male,2386,2348,2321,2350,2385,0.49197
ISC,na,.,.,.,.,4,0.00017
JUS,Female,3198,3113,3049,3058,3057,0.68181
JUS,Male,1527,1461,1427,1403,1404,0.31819
LAC,Female,536,624,615,569,568,0.60041
LAC,Male,377,419,411,369,362,0.39959
MPCC,Female,12,10,15,20,20,0.73333
