id,subject_class,subject_id,fyear1,fyear2,topic_keys,footnote_en,footnote_fr
0,dept,ND,,,PEOPLE,Headcount does not include regular and reservists members.,L'effectif ne comprend ni les membres en uniforme ni les réservistes.
1,dept,RCMP,,,PEOPLE,This data only includes Public Service Employees. RCMP Regular Force and Civilian Members are excluded,Seuls les employés de la fonction publique sont compris dans ces données. Les membres de la GRC et des Forces régulières (militaires et civils) sont exclus.
2,dept,ND,,,MACHINERY,"Amendments made to the _National Defence Act_ indicate a continuation of the Canadian Forces Grievance Board under the new name, the Military Grievances External Review Committee.","Selon les modifications à la _Loi sur la Défense nationale_, les travaux du Comité des griefs des Forces canadiennes se poursuivront sous un nouveau nom : Comité externe d'examen des griefs militaires."
3,dept,INAC,,2014-15,PEOPLE,Indian Affairs and Northern Development Canada headcounts prior to 2014-15 include Canadian Northern Economic Development Agency.,"Avant 2014-2015, l'effectif d'Affaires indiennes et du Nord canadien Canada comprenait le personnel de l'Agence canadienne de développement économique du Nord."
4,dept,VAC,,,PEOPLE,Headcount includes Veterans Review and Appeal Board.,L'effectif comprend le personnel du Tribunal des anciens combattants.
5,dept,SC,,,PEOPLE,Headcount includes employees working in Statistical Survey Operations.,L'effectif comprend le personnel des Opérations des enquêtes statistiques.
6,dept,SEN,,,PEOPLE,Employment data refers to Senate employees only and does not capture Senators and Senate staff.,Les données sur l'emploi ne concernent que les employés du sénat. Elles n'englobent ni les sénateurs ni le personnel du sénat.
7,dept,CSIS,,,PEOPLE,Employment information is not available.,Les données sur l'emploi ne sont pas disponibles.
8,dept,FJA,,,PEOPLE,Federally appointed judges are not included in the employee headcount the Office of the Commissioner for Federal Judicial Affairs. The employee headcounts for federally appointed judges can be found under “Federal Judges”.,Les juges de nomination fédérale ne sont pas inclus dans l'effectif du Commissariat à la magistrature fédérale. Le relevé de l'effectif pour les juges de nomination fédérale se trouve sous « Juges fédéraux ».
9,dept,SCC,,,PEOPLE,Federally appointed judges are not included in the employee headcount of the Supreme Court of Canada. The employee headcounts for federally appointed judges can be found under “Federal Judges”.,Les juges de nomination fédérale ne sont pas inclus dans l'effectif de la Cour suprême du Canada. Le relevé de l'effectif pour les juges de nomination fédérale se trouve sous « Juges fédéraux ». 
10,dept,JJJ,,,PEOPLE,Financial and planning data for Federal Judges (excluding judges of the Supreme Court of Canada) can be found under the Office of the Commissioner for Federal Judicial Affairs Canada.,Les données financières et relatives à la planification pour les Juges fédéraux (excluant les juges de la Cour suprême du Canada) se trouvent sous le Commissariat à la magistrature fédérale.
11,dept,JJJ,,,PEOPLE,Financial and planning data for Federal Judges of the Supreme Court of Canada are included under the Supreme Court of Canada.,Les données financières et relatives à la planification pour les Juges fédéraux de la Cour suprême du Canada se trouvent sous la Cour suprême du Canada.
12,dept,SC,,,PEOPLE,"GC InfoBase is primarily aligned with the financial data universe. In a few cases, what would be viewed as two or more distinct organizations in the people management data universe are presented as a single entity in the financial data universe.


In GC InfoBase, people management data for **Statistics Canada** contains both **Statistics Canada** and **Statistical Survey Operations**.","InfoBase du GC est principalement alignée sur l'univers des données financières. Il peut arriver, dans certains cas, que plusieurs organisations distinctes de l'univers des données de la gestion des personnes figurent comme une seule entité dans l'univers des données financières.


Dans InfoBase du GC, des données sur la gestion des personnes pour **Statistique Canada** contiennent les données à  la fois de **Statistique Canada** et des **Opérations des enquêtes statistiques**."
