"covid_initiative_id","name_en","name_fr"
"COVINIT001","Acquiring protective gear and medical equipment","Obtenir du matériel de protection et de l’équipement médical"
"COVINIT002","Additional support for Canadian seniors","Soutien supplémentaire pour les aînés canadiens"
"COVINIT003","Addressing gender-based violence","Contrer la violence fondée sur le sexe"
"COVINIT004","Addressing the outbreak of COVID-19 among temporary foreign workers on farms","Contrer la propagation de la COVID-19 parmi les travailleurs étrangers temporaires dans les exploitations agricoles"
"COVINIT005","Boosting Canada’s capacity to manufacture and deploy a future COVID-19 vaccine","Renforcer la capacité du Canada à fabriquer et à distribuer un éventuel vaccin contre la COVID-19"
"COVINIT006","Border and travel measures and isolation sites","Mesures relatives au voyage et aux frontières et les centres d’isolement"
"COVINIT007","COVID-19 Emergency Support Fund for cultural, heritage, and sport organizations","Fonds dʼurgence pour soutenir les organismes chargés de la culture, du patrimoine et du sport dans le contexte de la COVID-19"
"COVINIT008","Canada Emergency Commercial Rent Assistance","Aide d’urgence du Canada pour le loyer commercial destinée aux petites entreprises"
"COVINIT009","Canada Emergency Response Benefit","Prestation canadienne d’urgence"
"COVINIT010","Canada Emergency Student Benefit","Prestation canadienne d’urgence pour les étudiants"
"COVINIT011","Canada Student Service Grant","Bourse canadienne pour le bénévolat étudiant"
"COVINIT012","Canadian Armed Forces’ response to COVID-19 (Including Operation LASER)","Appuyer la réponse des Forces armées canadiennes à la crise de la COVID-19 (incluant Opération LASER)"
"COVINIT013","Canadian Red Cross","Croix-Rouge canadienne"
"COVINIT014","Canadian Seafood Stabilization Fund","Fonds canadien pour la stabilisation des produits de la mer"
"COVINIT015","Communications and Marketing","Communication et marketing"
"COVINIT016","Community Futures Network","Réseau de développement des collectivités"
"COVINIT017","Consular Assistance","Lʼaide consulaire"
"COVINIT018","Creating job opportunities for students","Créer des possibilités d’emploi pour les étudiants"
"COVINIT019","Critical Operating Requirements","Besoins opérationnels essentiels"
"COVINIT020","Drugs, medical devices and Virtual care","Médicaments, dispositifs médicaux et soins virtuels"
"COVINIT021","Emergency Community Support Fund","Fonds de soutien communautaire d’urgence"
"COVINIT022","Emergency Processing Fund","Fonds dʼurgence pour la transformation"
"COVINIT023","Emergency research and innovation response measures","Mesures dʼintervention dʼurgence en matière de recherche et d’innovation"
"COVINIT024","Enhancing public health measures to COVID-19 in First Nations and Inuit communities","Améliorer les mesures de santé publique contre la COVID-19 dans les communautés inuites et des Premières Nations"
"COVINIT025","Ensuring access to CRA call centres","Assurer l’accès aux centres d’appels de l’Agence du revenu du Canada"
"COVINIT026","Essential Workers Support Fund","Fonds de soutien des travailleurs essentiels"
"COVINIT027","Establishing a multi-disciplinary network of data specialists in modelling emerging infectious diseases to support public health actions across Canada","Mettre sur pied un réseau multidisciplinaire de spécialistes des données dans la modélisation des maladies infectieuses émergentes pour appuyer les mesures de santé publique partout au Canada"
"COVINIT028","Establishing capacity for domestic production of personal protective equipment","Développer la capacité nationale de production d’équipement de protection individuelle"
"COVINIT029","Family Violence Prevention Program","Programme pour la prévention de la violence familiale"
"COVINIT030","Futurpreneur Canada","Futurpreneur Canada"
"COVINIT031","Government advertising programs","Programmes de publicité du gouvernement"
"COVINIT032","Granville Island Emergency Relief Fund","Fonds d’urgence pour Granville Island"
"COVINIT033","Income Assistance","Aide au revenu"
"COVINIT034","Increasing bio-manufacturing capacity","Augmenter la capacité de biofabrication"
"COVINIT035","Increasing food inspection capacity and safeguarding integrity of Canada’s food safety system","Augmenter la capacité d’inspection des aliments et protéger l’intégrité du système canadien de salubrité des aliments"
"COVINIT036","Indigenous Community Support Fund","Fonds de soutien aux communautés autochtones"
"COVINIT037","Industrial Research Assistance Program","Programme d’aide à la recherche industrielle"
"COVINIT038","Information technology services, infrastructure and cyber security","Services de technologie de l’information, lʼinfrastructure et la cybersécurité"
"COVINIT039","Kids Help Phone","Jeunesse, J’écoute"
"COVINIT040","Local Food Infrastructure Fund","Fonds des infrastructures alimentaires locales"
"COVINIT041","Medical Research","Recherche médicale"
"COVINIT042","Medical countermeasures","Contre-mesures médicales"
"COVINIT043","Medical countermeasures for chemical, biological, radiological and nuclear threats, including pandemic influenza","Contre-mesures médicales en cas de menaces chimiques, biologiques, radiologiques et nucléaires, incluant la grippe pandémique"
"COVINIT044","Medical research and vaccine developments","Recherche médicale et le développement de vaccins"
"COVINIT045","Mitigating health, social and economic risks of novel coronavirus outbreak","Atténuation des risques sanitaires, sociaux et économiques de l’éclosion du nouveau coronavirus"
"COVINIT046","National Medical Research Strategy","Stratégie nationale de recherche médicale"
"COVINIT047","New Horizons for Seniors Program","Lʼélargissement du programme Nouveaux horizons"
"COVINIT048","Nutrition North Canada","Nutrition Nord Canada"
"COVINIT049","One-time payment to persons with disabilities","Paiement unique aux personnes handicapées"
"COVINIT050","Pandemic response and health emergencies research plan","Répondre à la pandémie et à financer un plan de recherche sur les interventions sanitaires d’urgence"
"COVINIT051","Payment to province of Alberta to clean up inactive oil and gas wells","Fonds à la province de lʼAlberta pour nettoyer les puits de pétrole et de gaz inactifs"
"COVINIT052","Payment to province of British Columbia to clean up inactive oil and gas wells","Fonds à la province de la Colombie-Britannique pour nettoyer les puits de pétrole et de gaz inactifs"
"COVINIT053","Payment to province of Saskatchewan to clean up inactive oil and gas wells","Fonds à la province de la Saskatchewan pour nettoyer les puits de pétrole et de gaz inactifs"
"COVINIT054","Personal support worker training and Measures to address labour shortages in long-term and home care","Formation des préposés aux bénéficiaires et les mesures visant à remédier aux pénuries de main-d’oeuvre dans le secteur des soins de longue durée et à domicile"
"COVINIT055","Providing supplies for the health system","Approvisionner le système de santé"
"COVINIT056","Rapid Housing Initiative","Initiative pour la création rapide de logements"
"COVINIT057","Reaching Home Program","Programme Vers un chez-soi"
"COVINIT058","Safe Restart Agreement","Fonds pour le Cadre de relance sécuritaire"
"COVINIT059","Safe Restart Agreement for federal investments in testing, contact tracing and data management","L'Accord sur la relance sécuritaire aux fins d'investissements fédéraux dans le dépistage, la recherche des contacts et la gestion des données"
